month,count
,95799
2005-01,1
2005-02,2
2005-03,2
2005-04,3
2005-05,3
2005-06,1
2005-07,2
2005-09,1
2005-11,2
2005-12,4
2006-01,8
2006-02,3
2006-03,1
2006-04,5
2006-05,2
2006-07,1
2006-11,2
2006-12,1
2007-01,5
2007-02,2
2007-03,1
2007-04,2
2007-05,3
2007-06,2
2007-07,1
2007-08,2
2008-01,4
2008-02,3
2008-03,3
2008-04,2
2008-05,1
2008-06,2
2008-07,1
2008-08,1
2008-10,1
2008-12,1
2009-01,4
2009-02,1
2009-03,1
2009-05,4
2009-06,1
2009-07,4
2009-08,1
2009-09,3
2009-11,1
2009-12,1
2010-01,11
2010-02,4
2010-03,4
2010-04,1
2010-05,2
2010-06,1
2010-07,1
2010-09,1
2010-11,1
2010-12,1
2011-01,4
2011-02,2
2011-06,1
2011-07,2
2011-09,1
2011-10,2
2012-01,18
2012-02,9
2012-03,4
2012-04,1
2012-05,2
2012-06,6
2012-07,4
2012-08,2
2012-09,1
2012-11,3
2012-12,1
2013-01,10
2013-02,4
2013-03,4
2013-04,1
2013-05,4
2013-06,2
2013-07,3
2013-10,1
2013-11,2
2014-01,15
2014-02,5
2014-03,4
2014-04,2
2014-05,1
2014-06,6
2014-08,1
2014-09,1
2014-10,6
2014-11,7
2014-12,13
2015-01,63
2015-02,50
2015-03,30
2015-04,28
2015-05,40
2015-06,38
2015-07,4
2015-08,1
2015-09,1
2015-10,1
2015-12,1
2016-01,19
2016-02,4
2016-03,5
2016-04,6
2016-05,4
2016-06,6
2016-07,3
2016-08,1
2016-10,1
2016-11,1
2016-12,2
2017-01,16
2017-02,4
2017-03,6
2017-04,8
2017-05,2
2017-06,4
2017-07,4
2017-09,1
2017-10,7
2017-11,4
2017-12,2
2018-01,21
2018-02,7
2018-03,6
2018-04,6
2018-05,5
2018-06,4
2018-07,7
2018-08,5
2018-09,4
2018-10,4
2018-11,2
2018-12,7
2019-01,31
2019-02,9
2019-03,11
2019-04,8
2019-05,7
2019-06,7
2019-07,10
2019-08,3
2019-09,1
2019-10,3
2019-11,6
2019-12,14
2020-01,31
2020-02,11
2020-03,13
2020-04,19
2020-05,11
2020-06,16
2020-07,14
2020-08,7
2020-09,4
2020-10,5
2020-11,8
2020-12,15
2021-01,23
2021-02,8
2021-03,16
2021-04,21
2021-05,10
2021-06,15
2021-07,7
2021-08,8
2021-09,13
2021-10,13
2021-11,12
2021-12,14
2022-01,49
2022-02,13
2022-03,32
2022-04,19
2022-05,26
2022-06,24
2022-07,30
2022-08,17
2022-09,27
2022-10,36
2022-11,27
2022-12,24
2023-01,72
2023-02,41
2023-03,68
2023-04,40
2023-05,66
2023-06,64
2023-07,41
2023-08,59
2023-09,53
2023-10,67
2023-11,69
2023-12,108
2024-01,584
2024-02,409
2024-03,346
2024-04,348
2024-05,317
2024-06,334
2024-07,312
2024-08,484
2024-09,650
2024-10,1068
2024-11,2040
2024-12,11152
2025-01,98109
2025-02,95129
2025-03,103244
2025-04,92686
2025-05,95306
2025-06,80712
2025-07,865
2025-08,20
2025-12,1
